Year,State,FIPS,Hesitancy,Hesitancy Level,Hesitancy measles,Hesitancy measles rate
2002.0,California,6051,6.0,0.0413793103448275,10.0,0.0689655172413793
2002.0,California,6053,68.0,0.0108660914030041,186.0,0.0297219558964525
2002.0,California,6055,32.0,0.0205920205920205,63.0,0.0405405405405405
2002.0,California,6057,129.0,0.1264705882352941,181.0,0.1774509803921568
2002.0,California,6059,534.0,0.0121551488664299,1860.0,0.0423381589729582
2002.0,California,6061,183.0,0.0406757057123805,297.0,0.0660146699266503
2002.0,California,6063,8.0,0.0404040404040404,9.0,0.0454545454545454
2002.0,California,6065,212.0,0.0077505209666215,743.0,0.0271633824443388
2002.0,California,6067,204.0,0.011069510011395,1248.0,0.0677193553638287
2002.0,California,6069,8.0,0.0082135523613963,23.0,0.0236139630390143
2002.0,California,6071,289.0,0.0095411026741498,753.0,0.0248596896665566
2002.0,California,6073,649.0,0.0160033535532869,1560.0,0.0384672288800118
2002.0,California,6075,47.0,0.0071744771790566,312.0,0.0476263165928865
2002.0,California,6077,80.0,0.0078631806565755,291.0,0.0286023196382936
2002.0,California,6079,93.0,0.0354555852077773,148.0,0.0564239420510865
2002.0,California,6081,105.0,0.0127814972611077,462.0,0.056238587948874
2002.0,California,6083,130.0,0.0233058443886697,289.0,0.0518106848332735
2002.0,California,6085,268.0,0.0109521863506334,1039.0,0.0424601552921945
2002.0,California,6087,191.0,0.0573401380966676,286.0,0.08586010207145
2002.0,California,6089,81.0,0.0389985556090515,171.0,0.0823302840635532
2002.0,California,6091,1.0,0.0434782608695652,1.0,0.0434782608695652
2002.0,California,6093,32.0,0.0806045340050377,38.0,0.0957178841309823
2002.0,California,6095,41.0,0.0072811223583732,192.0,0.0340969632392115
2002.0,California,6097,201.0,0.0357905982905982,330.0,0.0587606837606837
2002.0,California,6099,124.0,0.0153237765694513,288.0,0.0355907068709836
2002.0,California,6101,8.0,0.0059479553903345,47.0,0.0349442379182156
2002.0,California,6103,23.0,0.0296010296010296,42.0,0.054054054054054
2002.0,California,6105,1.0,0.0117647058823529,1.0,0.0117647058823529
2002.0,California,6107,50.0,0.0067540186410914,150.0,0.0202620559232743
2002.0,California,6109,33.0,0.0635838150289017,57.0,0.1098265895953757
2002.0,California,6111,215.0,0.0174683132921676,742.0,0.0602859928501787
2002.0,California,6113,42.0,0.0172839506172839,101.0,0.0415637860082304
2002.0,California,6115,22.0,0.0181968569065343,99.0,0.0818858560794044
2003.0,California,6001,168.0,0.0092505919277572,938.0,0.0516491382633114
2003.0,California,6003,0.0,0.0,1.0,0.0714285714285714
2003.0,California,6005,9.0,0.0311418685121107,14.0,0.0484429065743944
2003.0,California,6007,97.0,0.0409455466441536,140.0,0.0590966652596032
2003.0,California,6009,17.0,0.0385487528344671,25.0,0.0566893424036281
2003.0,California,6011,0.0,0.0,12.0,0.0333333333333333
2003.0,California,6013,197.0,0.0145119705340699,477.0,0.0351381215469613
2003.0,California,6015,10.0,0.0286532951289398,21.0,0.0601719197707736
2003.0,California,6017,87.0,0.043026706231454,135.0,0.0667655786350148
2003.0,California,6019,84.0,0.0055951508692466,267.0,0.017784586691534
2003.0,California,6021,1.0,0.0022779043280182,7.0,0.0159453302961275
2003.0,California,6023,75.0,0.0554323725055432,150.0,0.1108647450110864
2003.0,California,6025,6.0,0.0022909507445589,85.0,0.032455135547919
2003.0,California,6027,3.0,0.0167597765363128,5.0,0.0279329608938547
2003.0,California,6029,161.0,0.0129078810230097,388.0,0.0311071915337128
2003.0,California,6031,6.0,0.0026362038664323,26.0,0.0114235500878734
2003.0,California,6033,21.0,0.0297872340425531,56.0,0.0794326241134751
2003.0,California,6035,28.0,0.0682926829268292,72.0,0.1756097560975609
2003.0,California,6037,1016.0,0.0071146466485532,6686.0,0.0468194168230581
2003.0,California,6039,24.0,0.0105726872246696,72.0,0.0317180616740088
2003.0,California,6041,72.0,0.0265878877400295,252.0,0.0930576070901034
2003.0,California,6043,6.0,0.0441176470588235,9.0,0.0661764705882353
2003.0,California,6045,32.0,0.0326197757390418,96.0,0.0978593272171253
2003.0,California,6047,22.0,0.0052999277282582,83.0,0.0199951818838834
2003.0,California,6049,4.0,0.0317460317460317,20.0,0.1587301587301587
2003.0,California,6051,7.0,0.0482758620689655,17.0,0.1172413793103448
2003.0,California,6053,60.0,0.0093530787217459,175.0,0.0272798129384255
2003.0,California,6055,12.0,0.0075140889167188,49.0,0.0306825297432686
2003.0,California,6057,112.0,0.1059602649006622,200.0,0.1892147587511826
2003.0,California,6059,625.0,0.014467257702368,2025.0,0.0468739149556723
2003.0,California,6061,189.0,0.040497107349475,339.0,0.0726376687379472
2003.0,California,6063,9.0,0.0497237569060773,10.0,0.0552486187845303
2003.0,California,6065,219.0,0.0077379690481238,699.0,0.0246979012083951
2003.0,California,6067,263.0,0.0141672053436759,1486.0,0.0800474035768153
2003.0,California,6069,13.0,0.0134297520661157,26.0,0.0268595041322314
2003.0,California,6071,349.0,0.0116081822717445,812.0,0.0270081490104772
2003.0,California,6073,658.0,0.0164331560150845,1629.0,0.0406832996178916
2003.0,California,6075,40.0,0.0067499156260546,283.0,0.0477556530543368
2003.0,California,6077,54.0,0.0051679586563307,263.0,0.0251698727150923
2003.0,California,6079,86.0,0.034059405940594,137.0,0.0542574257425742
2003.0,California,6081,97.0,0.011799051210315,421.0,0.0512103150468312
2003.0,California,6083,137.0,0.0242907801418439,289.0,0.051241134751773
2003.0,California,6085,254.0,0.01125138427464,960.0,0.0425249169435216
2003.0,California,6087,143.0,0.0462783171521035,272.0,0.0880258899676375
2003.0,California,6089,74.0,0.034434620753839,139.0,0.0646812470916705
2003.0,California,6091,2.0,0.0769230769230769,2.0,0.0769230769230769
2003.0,California,6093,30.0,0.0755667506297229,43.0,0.1083123425692695
2003.0,California,6095,37.0,0.0064370215727209,170.0,0.0295755045233124
2003.0,California,6097,186.0,0.032336578581363,374.0,0.0650208623087621
2003.0,California,6099,115.0,0.0141782764147454,246.0,0.0303291825915423
2003.0,California,6101,3.0,0.0021629416005767,44.0,0.0317231434751261
2003.0,California,6103,35.0,0.0455136540962288,38.0,0.0494148244473342
2003.0,California,6105,10.0,0.0892857142857142,13.0,0.1160714285714285
2003.0,California,6107,51.0,0.0066937918361989,156.0,0.0204751279695498
2003.0,California,6109,43.0,0.0858283433133732,66.0,0.1317365269461078
2003.0,California,6111,208.0,0.0174789915966386,604.0,0.0507563025210084
2003.0,California,6113,29.0,0.0129637907912382,77.0,0.0344210996870809
2003.0,California,6115,15.0,0.0133928571428571,90.0,0.0803571428571428
2004.0,California,6001,204.0,0.0112539306007612,987.0,0.0544491642301539
2004.0,California,6003,1.0,0.0769230769230769,3.0,0.2307692307692307
2004.0,California,6005,4.0,0.0123839009287925,11.0,0.0340557275541795
2004.0,California,6007,95.0,0.0395010395010395,147.0,0.0611226611226611
2004.0,California,6009,26.0,0.054968287526427,46.0,0.0972515856236786
2004.0,California,6011,3.0,0.0084269662921348,12.0,0.0337078651685393
